"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2022,48.5205039824
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2010,19.8057007251
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2011,33.0676056306
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2012,46.4089360466
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2013,44.5703159105
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2014,48.1373496853
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2015,59.113025702200005
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2016,58.3921112729
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2017,47.1029285234
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2018,60.5042285065
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2019,55.7334611596
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2020,50.43138885580001
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2021,69.0120427465
"GHA","Ghana","Greater Accra","admin1","Access","in 100 people",2022,69.4431795934
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2010,16.4531327505
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2011,29.908362341899995
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2012,46.598008524200004
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2013,42.846620165299996
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2014,36.829255163
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2015,40.3069408351
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2016,39.9303682942
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2017,33.779351298799995
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2018,50.980792435199994
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2019,43.715959382899996
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2020,31.3599414211
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2021,46.039237047700006
"GHA","Ghana","Ashanti","admin1","Use","in 100 people",2022,45.23663888870001
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2010,67.7355504909
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2011,72.3250395715
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2012,77.66203173839999
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2013,72.4990877006
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2014,63.068338703500004
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2015,61.993303642
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2016,64.1744981033
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2017,60.1491961026
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2018,66.44320901500001
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2019,61.023390793599994
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2020,56.07849535580001
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2021,66.6472931894
"GHA","Ghana","Ashanti","admin1","Use Rate","in 100 people",2022,66.5208227306
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2010,23.9318956235
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2011,40.4977372114
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2012,59.0000331628
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2013,58.1559557501
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2014,57.633950348099994
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2015,64.1111039983
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2016,61.394104698499994
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2017,55.09264924639999
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2018,75.2057946541
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2019,70.6568967785
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2020,54.659492356600005
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2021,66.5306596558
"GHA","Ghana","Ashanti","admin1","Access","in 100 people",2022,65.849193861
"GHA","Ghana","Central","admin1","Use","in 100 people",2010,14.2325110246
"GHA","Ghana","Central","admin1","Use","in 100 people",2011,27.981395281300003
"GHA","Ghana","Central","admin1","Use","in 100 people",2012,45.586629045100004
"GHA","Ghana","Central","admin1","Use","in 100 people",2013,43.7835538867
"GHA","Ghana","Central","admin1","Use","in 100 people",2014,41.1061634929
"GHA","Ghana","Central","admin1","Use","in 100 people",2015,46.1916992579
"GHA","Ghana","Central","admin1","Use","in 100 people",2016,44.918089101
"GHA","Ghana","Central","admin1","Use","in 100 people",2017,35.806932720599995
"GHA","Ghana","Central","admin1","Use","in 100 people",2018,50.1904142999
"GHA","Ghana","Central","admin1","Use","in 100 people",2019,46.0419020547
"GHA","Ghana","Central","admin1","Use","in 100 people",2020,37.6626620797
"GHA","Ghana","Central","admin1","Use","in 100 people",2021,54.5571315521
"GHA","Ghana","Central","admin1","Use","in 100 people",2022,54.5090696986
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2010,61.8716713121
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2011,72.4673986645
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2012,81.8107974638
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2013,79.09779442
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2014,71.5912588653
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2015,67.0235584773
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2016,62.4955296782
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2017,53.7688571558
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2018,62.3432726812
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2019,61.9348593152
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2020,60.0823349307
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2021,71.3637376561
"GHA","Ghana","Central","admin1","Use Rate","in 100 people",2022,71.86876959029999
"GHA","Ghana","Central","admin1","Access","in 100 people",2010,22.1134331732
"GHA","Ghana","Central","admin1","Access","in 100 people",2011,37.1241867786
"GHA","Ghana","Central","admin1","Access","in 100 people",2012,54.3980468685
"GHA","Ghana","Central","admin1","Access","in 100 people",2013,54.201913006000005
"GHA","Ghana","Central","admin1","Access","in 100 people",2014,56.5346766474
"GHA","Ghana","Central","admin1","Access","in 100 people",2015,67.80811436130001
"GHA","Ghana","Central","admin1","Access","in 100 people",2016,70.65413517030001
"GHA","Ghana","Central","admin1","Access","in 100 people",2017,65.2124062254
"GHA","Ghana","Central","admin1","Access","in 100 people",2018,78.61541685179999
